GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1289991689,SushiGo,3,GAME_OVER,63,0,2,324,Basic MCTS,47.0,89.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
57605084,SushiGo,3,GAME_OVER,62,0,2,325,Basic MCTS,38.0,72.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
1596007353,SushiGo,3,GAME_OVER,61,0,2,326,RandomPlayer,45.0,38.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
-1349601525,SushiGo,3,GAME_OVER,62,0,2,327,SushigoAgentBKP,56.0,45.0,RandomPlayer,1,SushigoAgentBKP,1,2,2,RandomPlayer,RandomPlayer,SushigoAgentBKP,1
870779329,SushiGo,3,GAME_OVER,61,0,2,328,SushigoAgentBKP,79.0,45.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
924245394,SushiGo,3,GAME_OVER,61,0,2,329,RandomPlayer,103.0,39.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
1159086972,SushiGo,3,GAME_OVER,60,0,2,330,SushigoAgentBKP,70.0,41.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
-479700809,SushiGo,3,GAME_OVER,62,0,2,331,SushigoAgentBKP,45.0,44.0,RandomPlayer,1,SushigoAgentBKP,1,2,2,RandomPlayer,RandomPlayer,SushigoAgentBKP,1
-644393837,SushiGo,3,GAME_OVER,60,0,2,332,SushigoAgentBKP,38.0,37.0,RandomPlayer,1,SushigoAgentBKP,1,2,2,RandomPlayer,RandomPlayer,SushigoAgentBKP,1
480101917,SushiGo,3,GAME_OVER,60,0,2,333,Basic MCTS,34.0,74.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
1669812908,SushiGo,3,GAME_OVER,63,0,2,334,Basic MCTS,33.0,71.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
